symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NASDX,2017-01-12 00:00:00+00:00,12.87,12.87,12.87,12.87,0.0,11.0670069157,11.0670069157,11.0670069157,11.0670069157,0.0,0.0,1.0
NASDX,2017-01-13 00:00:00+00:00,12.92,12.92,12.92,12.92,0.0,11.1100022806,11.1100022806,11.1100022806,11.1100022806,0.0,0.0,1.0
NASDX,2017-01-14 00:00:00+00:00,12.88,12.88,12.88,12.88,0.0,11.0756059887,11.0756059887,11.0756059887,11.0756059887,0.0,0.0,1.0
NASDX,2017-01-15 00:00:00+00:00,12.88,12.88,12.88,12.88,0.0,11.0756059887,11.0756059887,11.0756059887,11.0756059887,0.0,0.0,1.0
NASDX,2017-01-16 00:00:00+00:00,12.88,12.88,12.88,12.88,0.0,11.0756059887,11.0756059887,11.0756059887,11.0756059887,0.0,0.0,1.0
NASDX,2017-01-17 00:00:00+00:00,12.88,12.88,12.88,12.88,0.0,11.0756059887,11.0756059887,11.0756059887,11.0756059887,0.0,0.0,1.0
NASDX,2017-01-18 00:00:00+00:00,12.91,12.91,12.91,12.91,0.0,11.1014032076,11.1014032076,11.1014032076,11.1014032076,0.0,0.0,1.0
NASDX,2017-01-19 00:00:00+00:00,12.9,12.9,12.9,12.9,0.0,11.0928041346,11.0928041346,11.0928041346,11.0928041346,0.0,0.0,1.0
NASDX,2017-01-20 00:00:00+00:00,12.93,12.93,12.93,12.93,0.0,11.1186013535,11.1186013535,11.1186013535,11.1186013535,0.0,0.0,1.0
NASDX,2017-01-21 00:00:00+00:00,12.93,12.93,12.93,12.93,0.0,11.1186013535,11.1186013535,11.1186013535,11.1186013535,0.0,0.0,1.0
NASDX,2017-01-22 00:00:00+00:00,12.93,12.93,12.93,12.93,0.0,11.1186013535,11.1186013535,11.1186013535,11.1186013535,0.0,0.0,1.0
NASDX,2017-01-23 00:00:00+00:00,12.93,12.93,12.93,12.93,0.0,11.1186013535,11.1186013535,11.1186013535,11.1186013535,0.0,0.0,1.0
NASDX,2017-01-24 00:00:00+00:00,13.02,13.02,13.02,13.02,0.0,11.1959930103,11.1959930103,11.1959930103,11.1959930103,0.0,0.0,1.0
NASDX,2017-01-25 00:00:00+00:00,13.14,13.14,13.14,13.14,0.0,11.299181886,11.299181886,11.299181886,11.299181886,0.0,0.0,1.0
NASDX,2017-01-26 00:00:00+00:00,13.16,13.16,13.16,13.16,0.0,11.3163800319,11.3163800319,11.3163800319,11.3163800319,0.0,0.0,1.0
NASDX,2017-01-27 00:00:00+00:00,13.19,13.19,13.19,13.19,0.0,11.3421772508,11.3421772508,11.3421772508,11.3421772508,0.0,0.0,1.0
NASDX,2017-01-28 00:00:00+00:00,13.09,13.09,13.09,13.09,0.0,11.2561865211,11.2561865211,11.2561865211,11.2561865211,0.0,0.0,1.0
NASDX,2017-01-29 00:00:00+00:00,13.09,13.09,13.09,13.09,0.0,11.2561865211,11.2561865211,11.2561865211,11.2561865211,0.0,0.0,1.0
NASDX,2017-01-30 00:00:00+00:00,13.09,13.09,13.09,13.09,0.0,11.2561865211,11.2561865211,11.2561865211,11.2561865211,0.0,0.0,1.0
NASDX,2017-01-31 00:00:00+00:00,13.06,13.06,13.06,13.06,0.0,11.2303893022,11.2303893022,11.2303893022,11.2303893022,0.0,0.0,1.0
NASDX,2017-02-01 00:00:00+00:00,13.15,13.15,13.15,13.15,0.0,11.3077809589,11.3077809589,11.3077809589,11.3077809589,0.0,0.0,1.0
